Date,3month,bond,ftse100,ftse250,nikkei,russell,sp400,sp500
2015-02-22,1.7e-05,0.001708,-0.000145,0.000884,0.002442,1.6e-05,-0.000264,-0.000104
2015-02-23,1.7e-05,0.001709,-0.000145,0.000883,0.002436,8e-06,-0.00027,-0.0001
2015-02-24,1.7e-05,0.00475,0.005411,0.001976,0.007395,0.001745,0.001386,0.002759
2015-02-25,1.7e-05,0.001078,-0.002043,-0.000793,-0.000983,0.000908,-0.000975,-0.000766
2015-02-26,2.5e-05,-0.002206,0.002062,0.00358,0.010793,0.003247,-0.002533,-0.001476
2015-02-27,1.7e-05,0.000734,-0.000432,0.001392,0.000647,-0.004632,-0.003881,-0.002956
2015-02-28,1.7e-05,0.00034,-0.000292,-0.000461,0.000513,0.002497,0.002449,0.002043
2015-03-01,1.7e-05,-0.002311,-0.000294,-0.000461,0.000513,0.002499,0.002443,0.002034
2015-03-02,1.7e-05,-0.002316,-0.000292,-0.000462,0.000513,0.002485,0.002437,0.002035
2015-03-03,1.7e-05,-0.001649,-0.00742,-0.006023,-0.000623,-0.006325,-0.005186,-0.004539
2015-03-04,8e-06,4e-06,0.004369,-0.000605,-0.005929,-0.003264,-0.004226,-0.004389
2015-03-05,1.7e-05,0.000944,0.006056,0.010193,0.002579,0.002909,0.000978,0.001196
2015-03-06,8e-06,-0.007114,-0.007082,-0.002201,0.011687,-0.013603,-0.012094,-0.014174
2015-03-07,8e-06,0.000839,-0.001703,-0.002029,-0.003171,0.001659,0.001278,0.001313
2015-03-08,1.7e-05,0.000834,-0.001704,-0.002033,-0.003181,0.001665,0.00127,0.001316
2015-03-09,1.7e-05,0.000837,-0.001709,-0.002038,-0.003191,0.001654,0.001275,0.00131
2015-03-10,1.7e-05,0.003289,-0.02526,-0.014247,-0.006676,-0.012357,-0.013315,-0.016961
2015-03-11,2.5e-05,0.000963,0.00279,0.001558,0.003129,0.006049,0.007301,-0.001918
2015-03-12,2.5e-05,0.00059,0.005892,0.006625,0.014292,0.017158,0.01188,0.012601
2015-03-13,2.5e-05,-0.001707,-0.003032,0.002833,0.013856,-0.003639,-0.006457,-0.006075
2015-03-14,3.3e-05,-0.000274,0.003141,0.001782,-0.000142,0.00207,0.003977,0.00451
2015-03-15,3.3e-05,-0.000278,0.003129,0.001779,-0.000142,0.002057,0.003961,0.004494
2015-03-16,4.2e-05,-0.000274,0.003121,0.001776,-0.000142,0.002061,0.003945,0.004469
2015-03-17,4.2e-05,0.002607,0.004924,0.000114,0.009921,0.001976,0.00114,-0.00332
