Date,NIKKEI225
1951-03-27,125.07
1951-03-28,125.76
1951-03-29,123.1
1951-03-30,123.32
1951-03-31,123.83666666666666
1951-04-01,124.35333333333334
1951-04-02,124.87
1951-04-03,123.78
1951-04-04,122.75
1951-04-05,122.0
1951-04-06,122.1
1951-04-07,121.94666666666666
1951-04-08,121.79333333333334
1951-04-09,121.64
1951-04-10,122.16
1951-04-11,122.07
1951-04-12,119.4
1951-04-13,117.54
1951-04-14,118.03666666666668
1951-04-15,118.53333333333333
1951-04-16,119.03
1951-04-17,119.22
1951-04-18,121.02
1951-04-19,122.87
1951-04-20,121.94
1951-04-21,121.62666666666667
1951-04-22,121.31333333333333
1951-04-23,121.0
1951-04-24,122.41
1951-04-25,123.02
1951-04-26,122.81
1951-04-27,121.5
1951-04-28,121.27333333333333
1951-04-29,121.04666666666667
1951-04-30,120.82
1951-05-01,121.11
1951-05-02,122.71
1951-05-03,122.955
1951-05-04,123.2
1951-05-05,123.37
1951-05-06,123.53999999999999
1951-05-07,123.71
1951-05-08,124.54
1951-05-09,124.49
1951-05-10,124.17
1951-05-11,123.67
1951-05-12,123.65666666666667
1951-05-13,123.64333333333333
1951-05-14,123.63
1951-05-15,123.19
1951-05-16,123.73
1951-05-17,123.98
1951-05-18,124.66
1951-05-19,125.09
1951-05-20,125.52
1951-05-21,125.95
1951-05-22,126.32
1951-05-23,126.22
1951-05-24,125.11
1951-05-25,125.4
1951-05-26,125.62666666666667
1951-05-27,125.85333333333334
1951-05-28,126.08
1951-05-29,125.53
1951-05-30,125.71
1951-05-31,127.23
1951-06-01,127.32
1951-06-02,127.99333333333333
1951-06-03,128.66666666666666
1951-06-04,129.34
1951-06-05,132.47
1951-06-06,132.08
1951-06-07,131.46
1951-06-08,132.55
1951-06-09,133.41333333333333
1951-06-10,134.27666666666667
1951-06-11,135.14
1951-06-12,134.95
1951-06-13,135.71
1951-06-14,136.29
1951-06-15,136.42
1951-06-16,135.65666666666667
1951-06-17,134.89333333333332
1951-06-18,134.13
1951-06-19,132.36
1951-06-20,132.86
1951-06-21,133.14
1951-06-22,133.65
1951-06-23,133.34333333333333
1951-06-24,133.03666666666666
1951-06-25,132.73
1951-06-26,131.45
1951-06-27,130.3
1951-06-28,130.59
1951-06-29,130.73
1951-06-30,129.22666666666666
1951-07-01,127.72333333333333
1951-07-02,126.22
1951-07-03,124.48
1951-07-04,127.93
1951-07-05,128.5
1951-07-06,127.94
1951-07-07,127.8
1951-07-08,127.66
1951-07-09,127.52
1951-07-10,127.2
1951-07-11,128.0
1951-07-12,127.7
1951-07-13,128.33
1951-07-14,128.85666666666668
1951-07-15,129.38333333333333
1951-07-16,129.91
1951-07-17,130.63
1951-07-18,132.46
1951-07-19,133.23
1951-07-20,132.91
1951-07-21,132.70333333333332
1951-07-22,132.49666666666667
1951-07-23,132.29
1951-07-24,132.08
1951-07-25,132.99
1951-07-26,132.98
1951-07-27,133.01
1951-07-28,133.42333333333332
1951-07-29,133.83666666666667
1951-07-30,134.25
1951-07-31,135.89
1951-08-01,136.23
1951-08-02,137.72
1951-08-03,139.44
1951-08-04,139.85666666666665
1951-08-05,140.27333333333334
1951-08-06,140.69
1951-08-07,138.34
1951-08-08,137.76
1951-08-09,137.75
1951-08-10,137.14
1951-08-11,137.37666666666667
1951-08-12,137.61333333333332
1951-08-13,137.85
1951-08-14,137.45
1951-08-15,137.21
1951-08-16,137.09
1951-08-17,137.38
1951-08-18,137.40666666666667
1951-08-19,137.43333333333334
1951-08-20,137.46
1951-08-21,138.04
1951-08-22,139.31
1951-08-23,140.81
1951-08-24,140.14
1951-08-25,141.03333333333333
1951-08-26,141.92666666666665
1951-08-27,142.82
1951-08-28,143.29
1951-08-29,143.14
1951-08-30,144.04
1951-08-31,145.3
1951-09-01,145.67333333333335
1951-09-02,146.04666666666665
1951-09-03,146.42
1951-09-04,144.68
1951-09-05,144.46
1951-09-06,144.6
1951-09-07,145.49
1951-09-08,145.65666666666667
1951-09-09,145.82333333333335
1951-09-10,145.99
1951-09-11,146.15
1951-09-12,146.39
1951-09-13,146.08
1951-09-14,146.72
1951-09-15,146.29
1951-09-16,145.86
1951-09-17,145.43
1951-09-18,143.61
1951-09-19,144.33
1951-09-20,145.56
1951-09-21,146.37
1951-09-22,148.04250000000002
1951-09-23,149.715
1951-09-24,151.3875
1951-09-25,153.06
1951-09-26,152.7
1951-09-27,151.69
1951-09-28,153.0
1951-09-29,153.35666666666665
1951-09-30,153.71333333333334
1951-10-01,154.07
1951-10-02,154.7
1951-10-03,157.87
1951-10-04,161.12
1951-10-05,162.73
